localminute,grid,dishwasher1,car1,livingroom1,clotheswasher1,office1,lights_plugs1,bathroom1,solar,air1
2018-01-01 00:00:00-06:00,2.444,0.859,0.058,0.218,0.004,0.149,0.0,0.002,-0.006,
2018-01-01 00:01:00-06:00,2.433,0.86,0.058,0.218,0.004,0.149,0.0,0.002,-0.006,
2018-01-01 00:02:00-06:00,2.371,0.852,0.058,0.218,0.003,0.149,0.0,0.002,-0.006,
2018-01-01 00:03:00-06:00,2.339,0.868,0.059,0.218,0.004,0.149,0.0,0.002,-0.006,
2018-01-01 00:04:00-06:00,2.333,0.866,0.059,0.218,0.004,0.149,0.0,0.002,-0.006,
2018-01-01 00:05:00-06:00,2.368,0.863,0.06,0.218,0.003,0.149,0.0,0.002,-0.006,
2018-01-01 00:06:00-06:00,2.367,0.865,0.058,0.218,0.004,0.149,0.0,0.002,-0.006,
2018-01-01 00:07:00-06:00,2.317,0.854,0.058,0.218,0.003,0.149,0.0,0.002,-0.006,
2018-01-01 00:08:00-06:00,2.292,0.867,0.058,0.218,0.004,0.149,0.0,0.002,-0.006,
2018-01-01 00:09:00-06:00,2.128,0.863,0.058,0.218,0.004,0.149,0.0,0.002,-0.006,
2018-01-01 00:10:00-06:00,2.037,0.859,0.058,0.218,0.003,0.149,0.0,0.002,-0.006,
2018-01-01 00:11:00-06:00,2.045,0.858,0.058,0.218,0.003,0.14,0.0,0.002,-0.006,
2018-01-01 00:12:00-06:00,2.049,0.848,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:13:00-06:00,2.061,0.862,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:14:00-06:00,2.078,0.858,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:15:00-06:00,2.103,0.855,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:16:00-06:00,2.107,0.857,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:17:00-06:00,2.09,0.85,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:18:00-06:00,2.124,0.866,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:19:00-06:00,2.323,0.861,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:20:00-06:00,2.316,0.858,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:21:00-06:00,2.352,0.856,0.057,0.218,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:22:00-06:00,2.323,0.848,0.057,0.187,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:23:00-06:00,2.384,0.861,0.056,0.173,0.003,0.135,0.0,0.002,-0.006,
2018-01-01 00:24:00-06:00,2.384,0.857,0.056,0.174,0.004,0.135,0.0,0.002,-0.006,
2018-01-01 00:25:00-06:00,1.824,0.273,0.057,0.173,0.003,0.134,0.001,0.002,-0.007,
2018-01-01 00:26:00-06:00,1.635,0.063,0.057,0.173,0.002,0.147,0.001,0.002,-0.007,
2018-01-01 00:27:00-06:00,1.653,0.053,0.057,0.173,0.002,0.165,0.001,0.001,-0.007,
2018-01-01 00:28:00-06:00,1.7,0.064,0.057,0.173,0.002,0.164,0.001,0.001,-0.007,
2018-01-01 00:29:00-06:00,1.606,0.063,0.057,0.173,0.002,0.164,0.001,0.001,-0.007,
2018-01-01 00:30:00-06:00,1.52,0.063,0.057,0.173,0.002,0.163,0.001,0.001,-0.007,
2018-01-01 00:31:00-06:00,1.469,0.062,0.057,0.173,0.002,0.163,0.001,0.001,-0.007,
2018-01-01 00:32:00-06:00,1.35,0.053,0.057,0.173,0.002,0.163,0.001,0.001,-0.007,
2018-01-01 00:33:00-06:00,1.669,0.513,0.056,0.174,0.003,0.164,0.0,0.002,-0.006,
2018-01-01 00:34:00-06:00,1.915,0.861,0.056,0.174,0.004,0.157,0.0,0.002,-0.006,
2018-01-01 00:35:00-06:00,1.989,0.858,0.055,0.174,0.003,0.145,0.0,0.002,-0.006,
2018-01-01 00:36:00-06:00,2.03,0.858,0.055,0.174,0.003,0.156,0.0,0.002,-0.006,
2018-01-01 00:37:00-06:00,1.6,0.467,0.056,0.173,0.003,0.153,0.0,0.002,-0.006,
2018-01-01 00:38:00-06:00,1.147,0.02,0.056,0.173,0.002,0.133,0.001,0.001,-0.007,
2018-01-01 00:39:00-06:00,1.074,0.014,0.056,0.173,0.002,0.133,0.024,0.025,-0.006,
2018-01-01 00:40:00-06:00,1.113,0.052,0.056,0.173,0.002,0.136,0.028,0.029,-0.006,
2018-01-01 00:41:00-06:00,1.127,0.064,0.056,0.133,0.002,0.136,0.009,0.01,-0.007,
2018-01-01 00:42:00-06:00,1.182,0.063,0.056,0.016,0.002,0.135,0.001,0.001,-0.007,
2018-01-01 00:43:00-06:00,1.216,0.062,0.056,0.002,0.002,0.135,0.001,0.001,-0.007,
2018-01-01 00:44:00-06:00,1.179,0.063,0.055,0.002,0.002,0.134,0.001,0.001,-0.007,
2018-01-01 00:45:00-06:00,1.178,0.063,0.055,0.002,0.002,0.134,0.001,0.001,-0.007,
2018-01-01 00:46:00-06:00,1.169,0.053,0.056,0.002,0.002,0.134,0.001,0.001,-0.007,
2018-01-01 00:47:00-06:00,1.177,0.062,0.055,0.002,0.002,0.134,0.001,0.002,-0.007,
2018-01-01 00:48:00-06:00,1.201,0.061,0.055,0.002,0.002,0.134,0.001,0.001,-0.007,
2018-01-01 00:49:00-06:00,1.223,0.061,0.055,0.002,0.002,0.133,0.001,0.002,-0.007,
2018-01-01 00:50:00-06:00,1.227,0.062,0.055,0.002,0.002,0.133,0.001,0.002,-0.007,
2018-01-01 00:51:00-06:00,1.313,0.062,0.055,0.002,0.002,0.133,0.001,0.001,-0.007,
2018-01-01 00:52:00-06:00,1.361,0.025,0.055,0.002,0.002,0.133,0.001,0.001,-0.007,
2018-01-01 00:53:00-06:00,1.305,0.023,0.055,0.002,0.002,0.133,0.001,0.001,-0.007,
2018-01-01 00:54:00-06:00,1.265,0.035,0.055,0.002,0.002,0.133,0.001,0.001,-0.007,
2018-01-01 00:55:00-06:00,2.009,0.876,0.054,0.003,0.004,0.134,0.0,0.001,-0.006,
